# BEAST v1.10.4
# Generated Tue Mar 22 15:29:18 PDT 2022 [seed=1647988158365]
# -save_every 100000 -save_state saved_state -beagle_SSE -beagle_thread_count 3 -beagle_scaling dynamic infile.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	tmrca(untitled0)	yule.birthRate	ycf1and2.gtr.rates.rateAC	ycf1and2.gtr.rates.rateAG	ycf1and2.gtr.rates.rateAT	ycf1and2.gtr.rates.rateCG	ycf1and2.gtr.rates.rateCT	ycf1and2.gtr.rates.rateGT	ycf1and2.frequencies1	ycf1and2.frequencies2	ycf1and2.frequencies3	ycf1and2.frequencies4	ycf1and2.alpha	ccsA-ndhD.gtr.rates.rateAC	ccsA-ndhD.gtr.rates.rateAG	ccsA-ndhD.gtr.rates.rateAT	ccsA-ndhD.gtr.rates.rateCG	ccsA-ndhD.gtr.rates.rateCT	ccsA-ndhD.gtr.rates.rateGT	ccsA-ndhD.frequencies1	ccsA-ndhD.frequencies2	ccsA-ndhD.frequencies3	ccsA-ndhD.frequencies4	ccsA-ndhD.alpha	ycf1and2.nu	ccsA-ndhD.nu	ycf1and2.mu	ccsA-ndhD.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	speciation
20000	-11312.269876259736	-280.5143299875175	-11031.755546272218	40.10452781654235	246.3297193069321	34.82932254855832	0.0805245143391804	0.9843067935742643	1.0237865308321237	0.9452078079124329	1.0088191850150947	1.0433711958785963	0.9945084867874882	0.268159597526896	0.16558000867278932	0.14189471206748344	0.42436568173283135	0.24340229781130615	1.0235851238167941	1.0594925378585849	0.9550183510079487	0.9977976238543316	1.01897932308337	0.9451270403789708	0.38772599290178467	0.14317458390144552	0.14568002103485608	0.3234194021619136	0.1636135931851682	0.7536199201717545	0.24638007982824514	1.1427539999660823	0.7235342170094705	0.05663753901219677	1.0105434512275304	0.0013036063212116453	1.5975501665044558	-0.16924712146692808	-11031.755546272218	-176.11750423849838	-77.77703415866206
21000	-11306.096507948007	-279.78239076800276	-11026.314117180003	40.433914014554254	247.72883541066474	37.839529048029675	0.08470646818199838	0.9843067935742643	1.0261397863615678	0.9452078079124329	1.008749815657193	1.0410179403491522	0.9945778561453898	0.2765462452886064	0.16360425378559837	0.1432199421704417	0.41662955875535357	0.20253347641810998	1.0180812964834687	1.0604153455189989	0.9430134753021877	0.9977976238543316	1.01897932308337	0.9617129357576432	0.3844896221428394	0.1462708032868758	0.15623873909533115	0.31300083547495355	0.10236682611750224	0.7633752447210287	0.23662475527897092	1.1575465178537594	0.6948861578224095	0.05824099007179002	1.0746601072319595	0.001256865440190903	1.4858941672823436	-0.17946535704388775	-11026.314117180003	-176.11750423849838	-77.76119094693604
22000	-11307.11608931395	-279.3210766661695	-11027.79501264778	37.684499051949686	236.79350361604682	33.924058014211354	0.11118259246907468	0.9716496860311065	1.035925885903644	0.9316083182776742	1.0144572037259794	1.0511951576021734	0.9951637484594227	0.2825248310808524	0.16751549826558104	0.1456584544485452	0.40430121620502135	0.23685634381769388	1.0327826313877329	1.045892130503529	0.9430134753021877	0.9886385484010194	1.0217762903531105	0.9678969240524202	0.38714048943785667	0.14618685640631432	0.15604754069121698	0.31062511346461186	0.10046747476733613	0.7532625367023116	0.24673746329768814	1.1422120803879288	0.7245837303017619	0.057607840508031104	0.9753946931561978	0.001443364795318836	1.4975882125693782	-0.17281886995743365	-11027.79501264778	-176.11750423849838	-76.84868900703954
23000	-11300.346007390464	-279.8517041612714	-11020.494303229192	40.614681629776726	254.0025505815726	36.5019253357932	0.096306209055905	0.9903741903853229	1.035925885903644	0.9058022171861662	1.0226503079305036	1.0511108352106289	0.9941365633837345	0.2590875767565321	0.1762534772010417	0.14532577749300646	0.4193331685494197	0.193281007200766	1.0379505042595811	1.0607865203509907	0.9122593472618618	0.9900903083750947	1.0192028350362112	0.97971048471626	0.38131493289838053	0.14618685640631432	0.157443341115851	0.315054869579454	0.163179320074945	0.7431505484506389	0.256849451549361	1.1268787343431805	0.7542791890709263	0.05479039879595926	0.9372608560598975	0.0012982248196612932	1.5443704582014222	-0.1809058179223184	-11020.494303229192	-176.11750423849838	-78.28713991685751
24000	-11309.725538826577	-282.3369213585554	-11027.388617468021	45.810963685914594	294.44241130272815	38.86698937863182	0.08258861712905836	0.9592138505723026	1.035925885903644	0.9182611891225142	1.0323509489483744	1.0622421669595146	0.9920059584936504	0.26207641498377476	0.17341419349761494	0.15423017799916053	0.4102792135194498	0.22471225185600657	1.032374306787306	1.0724455759205445	0.906450471761859	0.9859982482575483	1.0192028350362112	0.9835285622365304	0.37197289165352987	0.1550995837585851	0.16672617475869925	0.3062013498291857	0.18045130938955234	0.7346426799199066	0.26535732008009316	1.1139778004182066	0.7792638956271303	0.04717701515040004	0.8971509671882857	0.0011374030902519896	1.5985787149478052	-0.1703604400894872	-11027.388617468021	-176.11750423849838	-81.67691012106975
25000	-11294.726004905606	-280.31603674885775	-11014.409968156748	43.58464066678517	272.29770139877473	37.52347710787679	0.08015440562188504	0.9706115565481005	1.042800974122006	0.9118515108992843	1.0231214838465346	1.0612073080080835	0.9904071665759914	0.2734073404974132	0.16444826383190378	0.15423017799916053	0.40791421767152247	0.23288540865730098	1.0299978519769128	1.082139900023337	0.9078340375253835	1.0019225054583922	1.001781136582205	0.9763245684337689	0.3733366729809366	0.14286420239007858	0.17364036693027332	0.3101587576987115	0.10403937744957659	0.7441036503602789	0.2558963496397208	1.1283239735021564	0.751480254009283	0.0492938345052363	0.8605972891490256	0.0012717759972219742	1.5817210736065686	-0.1785398202084276	-11014.409968156748	-176.11750423849838	-79.87327039504927
26000	-11297.701474639012	-282.3605406357485	-11015.340934003263	47.843640783759255	311.5990985387523	39.98226129293153	0.0675389088011854	0.9850546993311279	1.0403383076640558	0.9112070533502326	1.0144811672491	1.0612073080080835	0.9877114643974004	0.2734073404974132	0.16738645060544663	0.15432986329792983	0.4048763455992103	0.2606283227589488	1.044323008356352	1.0640133180638056	0.8927618820517549	1.0049747717531994	1.0080832460354234	0.9858437737394641	0.3643967843601097	0.14724337131281792	0.18002612349262267	0.3083337208344497	0.10872103882213771	0.7631405558031839	0.2368594441968159	1.1571906465551958	0.6955753590862946	0.042105757438438675	0.8204894000855067	0.001010879912575062	1.6571513599474046	-0.1749384897818326	-11015.340934003263	-176.11750423849838	-83.03124576999821
27000	-11251.694985691362	-284.3562072057633	-10967.338778485599	52.84121605438218	350.0167670817168	43.506704880630394	0.0688811368441564	0.9939271208175988	1.0403383076640558	0.9112070533502326	1.0161525727804468	1.071428601635147	0.9669463437525192	0.2723907141129702	0.16752243999109792	0.14760230447832778	0.41248454141760404	0.22159839777803023	1.052214676532463	1.0598511236359085	0.8998384850066142	1.0004633689723845	0.997626377685268	0.9900059681673611	0.3624704938660893	0.13495058645425143	0.17783274203953878	0.3247461776401205	0.1088131690097994	0.7736626307922754	0.2263373692077244	1.1731458289487118	0.6646756155118367	0.038551414079356194	0.7547714075091105	9.139357483664137E-4	1.6488446525310054	-0.17534774782060802	-10967.338778485599	-176.11750423849838	-85.64312985983838
28000	-11241.036357193741	-284.5616368257904	-10956.47472036795	53.74933019575459	342.07271865805194	44.67143314320045	0.08026712139443937	0.9900525777243602	1.0466334886464252	0.9112070533502326	1.0141770481264076	1.071428601635147	0.9665012305174279	0.2721916434759229	0.16033510589973415	0.15903008997103368	0.4084431606533092	0.26265998288041104	1.03941875392187	1.0598511236359085	0.9182803305232061	1.0065025839377928	0.9875487594925462	0.9883984484886756	0.3646265001114546	0.1374638740087808	0.17316344823964414	0.3247461776401205	0.11182023586607338	0.7450110184411193	0.25498898155888056	1.1296998640221223	0.7488156235961109	0.0404995617329589	0.7789706944498902	9.189006885328843E-4	1.6467119050408638	-0.20323565987629333	-10956.47472036795	-176.11750423849838	-85.47228178167754
29000	-11238.42969008271	-284.1988929201498	-10954.23079716256	54.945969536412015	330.3987956918549	48.1998561912137	0.096459278244063	0.9844472898332438	1.0510468853239932	0.8996542768276155	1.019782336017524	1.0785679814801963	0.9665012305174279	0.2702845017622903	0.1651167227217054	0.1540048287994126	0.41059394671659155	0.23782017920325105	1.0396977965758185	1.0512748597452477	0.9022161404210297	1.0148433324196677	0.9875487594925462	1.0044191113456895	0.3674501298594996	0.13424769265263325	0.17603262722012894	0.32226955026773824	0.13655355639899833	0.7671100688429018	0.2328899311570981	1.1632098304735579	0.6839182538888969	0.0410951529778747	0.6914391925206549	9.717142835271345E-4	1.350211514385957	-0.2617465080470028	-10954.23079716256	-176.11750423849838	-85.6586193417042
